index,zpid,id,imgSrc,detailUrl,TypeofProperty,formattedprice,Price,address,addressStreet,addressZipcode,beds,baths,area,latLong,has3DModel,brokerName,best_deal
100,2067887822,2067887822,https://photos.zillowstatic.com/fp/7a7e71afdb1bb159fafcbc7cdfe60a38-p_e.jpg,https://www.zillow.com/homedetails/1251-Cardero-St-806-Vancouver-BC-V6G-2H9/2067887822_zpid/,Condo,"C$339,000",339000,"1251 Cardero St #806, Vancouver, BC V6G 2H9",1251 Cardero St #806,V6G2H9,1,1,436,{},FALSE,Coldwell Banker Prestige Realty,339000
708,2070945741,2070945741,https://photos.zillowstatic.com/fp/a4dd751fce28c6ac2829279c9cb71207-p_e.jpg,https://www.zillow.com/homedetails/1615-Frances-St-108-Vancouver-BC-V5L-1Z3/2070945741_zpid/,Condo,"C$459,900",459900,"1615 Frances St #108, Vancouver, BC V5L 1Z3",1615 Frances St #108,V5L1Z3,1,1,436,{},FALSE,Sutton Group-West Coast Realty,459900
252,2068631612,2068631612,https://photos.zillowstatic.com/fp/5adb0d9bc1be69a132ab58311b122764-p_e.jpg,https://www.zillow.com/homedetails/1889-Alberni-St-207-Vancouver-BC-V6G-3G7/2068631612_zpid/,Condo,"C$599,000",599000,"1889 Alberni St #207, Vancouver, BC V6G 3G7",1889 Alberni St #207,V6G3G7,1,1,441,"{'latitude': 49.29315, 'longitude': -123.13533}",FALSE,RE/MAX Select Properties,599000
301,2060162355,2060162355,https://photos.zillowstatic.com/fp/ffb33a83693b89fc694a120cc15590a7-p_e.jpg,https://www.zillow.com/homedetails/233-Robson-St-708-Vancouver-BC-V6B-0E8/2060162355_zpid/,Condo,"C$499,900",499900,"233 Robson St #708, Vancouver, BC V6B 0E8",233 Robson St #708,V6B0E8,0,1,443,"{'latitude': 49.27851, 'longitude': -123.115005}",FALSE,Stilhavn Real Estate Services,499900
797,2061592577,2061592577,https://photos.zillowstatic.com/fp/79bfebd439506ce09fc9240c8c613fe8-p_e.jpg,https://www.zillow.com/homedetails/1239-Georgia-St-W-906-Vancouver-BC-V6E-4R8/2061592577_zpid/,Condo,"C$599,999",599999,"1239 Georgia St W #906, Vancouver, BC V6E 4R8",1239 Georgia St W #906,V6E4R8,1,1,444,"{'latitude': 49.28773, 'longitude': -123.125626}",FALSE,Stilhavn Real Estate Services,599999
526,2065396712,2065396712,https://photos.zillowstatic.com/fp/6ba8424caa91c32fc1476c02e181a714-p_e.jpg,https://www.zillow.com/homedetails/161-Georgia-St-W-1105-Vancouver-BC-V6B-0K9/2065396712_zpid/,Condo,"C$478,000",478000,"161 Georgia St W #1105, Vancouver, BC V6B 0K9",161 Georgia St W #1105,V6B0K9,0,1,448,{},FALSE,Prompton Real Estate Services Inc.,478000
208,2060561370,2060561370,https://photos.zillowstatic.com/fp/f7942e9b953ec3efb3e86d8d7ae6f532-p_e.jpg,https://www.zillow.com/homedetails/1432-Kingsway-St-351-Vancouver-BC-V5N-5Y6/2060561370_zpid/,Condo,"C$459,000",459000,"1432 Kingsway St #351, Vancouver, BC V5N 5Y6",1432 Kingsway St #351,V5N5Y6,0,1,459,"{'latitude': 49.249302, 'longitude': -123.07482}",FALSE,YVR International Realty,459000
90,314344982,314344982,https://photos.zillowstatic.com/fp/b076a399f17cccfd018581875cf01342-p_e.jpg,https://www.zillow.com/homedetails/618-W-6th-Ave-9-Vancouver-BC-V5Z-1A3/314344982_zpid/,Condo,"C$498,000",498000,"618 W 6th Ave #9, Vancouver, BC V5Z 1A3",618 W 6th Ave #9,V5Z1A3,1,1,460,"{'latitude': 49.265606, 'longitude': -123.118004}",FALSE,Prompton Real Estate Services Inc.,498000
778,2060656900,2060656900,https://photos.zillowstatic.com/fp/8a7654e1ac97963590eb5361d41b53b5-p_e.jpg,https://www.zillow.com/homedetails/311-E-6th-Ave-521-Vancouver-BC-V5T-0G9/2060656900_zpid/,Condo,"C$569,900",569900,"311 E 6th Ave #521, Vancouver, BC V5T 0G9",311 E 6th Ave #521,V5T0G9,0,1,480,"{'latitude': 49.265705, 'longitude': -123.09837}",TRUE,Keller Williams Realty VanCentral,569900
43,2076464041,2076464041,https://photos.zillowstatic.com/fp/bb2b0eee7cfc9412be3d0982ff58e9eb-p_e.jpg,https://www.zillow.com/homedetails/489-Interurban-Way-2604-Vancouver-BC-V5X-0C7/2076464041_zpid/,Condo,"C$638,000",638000,"489 Interurban Way #2604, Vancouver, BC V5X 0C7",489 Interurban Way #2604,V5X0C7,1,1,492,{},FALSE,Jovi Realty Inc.,638000
309,2060147809,2060147809,https://photos.zillowstatic.com/fp/4b5b62393c33cf8b4cf0cac3b793aaec-p_e.jpg,https://www.zillow.com/homedetails/5665-Boundary-Rd-518-Vancouver-BC-V5R-0E4/2060147809_zpid/,Condo,"C$548,800",548800,"5665 Boundary Rd #518, Vancouver, BC V5R 0E4",5665 Boundary Rd #518,V5R0E4,1,1,493,"{'latitude': 49.23299, 'longitude': -123.02395}",FALSE,Sutton Group - Vancouver First Realty,548800
523,2060793017,2060793017,https://photos.zillowstatic.com/fp/60f4e84c7f933eb37d0d340d15afdb13-p_e.jpg,https://www.zillow.com/homedetails/3455-Ascot-Pl-812-Vancouver-BC-V5R-6B7/2060793017_zpid/,Condo,"C$445,000",445000,"3455 Ascot Pl #812, Vancouver, BC V5R 6B7",3455 Ascot Pl #812,V5R6B7,1,1,495,"{'latitude': 49.239105, 'longitude': -123.03239}",FALSE,LeHomes Realty Premier,445000
770,2061667392,2061667392,https://photos.zillowstatic.com/fp/e3ca60a248054890107ce8a6c51e37f7-p_e.jpg,https://www.zillow.com/homedetails/989-Nelson-St-409-Vancouver-BC-V6Z-2S1/2061667392_zpid/,Condo,"C$538,000",538000,"989 Nelson St #409, Vancouver, BC V6Z 2S1",989 Nelson St #409,V6Z2S1,1,1,495,"{'latitude': 49.281082, 'longitude': -123.125114}",FALSE,Royal Pacific Realty (Kingsway) Ltd.,538000
128,314324559,314324559,https://photos.zillowstatic.com/fp/ad13d676dd298ff5fc2a8c777c48ced2-p_e.jpg,https://www.zillow.com/homedetails/1628-Cypress-St-Vancouver-BC-V6J-5J1/314324559_zpid/,Condo,"C$535,000",535000,"1628 Cypress St, Vancouver, BC V6J 5J1",1628 Cypress St,V6J5J1,1,1,502,"{'latitude': 49.27132, 'longitude': -123.14743}",FALSE,Engel & Volkers Vancouver,535000
54,2071167449,2071167449,https://photos.zillowstatic.com/fp/0e202467717e06e0231a900c0fe213a1-p_e.jpg,https://www.zillow.com/homedetails/2222-Cambridge-St-104-Vancouver-BC-V5L-1E6/2071167449_zpid/,Condo,"C$422,000",422000,"2222 Cambridge St #104, Vancouver, BC V5L 1E6",2222 Cambridge St #104,V5L1E6,0,1,508,"{'latitude': 49.28635, 'longitude': -123.0592}",FALSE,Stilhavn Real Estate Services,422000
303,2071921445,2071921445,https://photos.zillowstatic.com/fp/797fc38b07aa65f8b003f39bf87ad915-p_e.jpg,https://www.zillow.com/homedetails/150-Cordova-St-E-505-Vancouver-BC-V6A-0E7/2071921445_zpid/,Condo,"C$455,000",455000,"150 Cordova St E #505, Vancouver, BC V6A 0E7",150 Cordova St E #505,V6A0E7,1,1,508,{},FALSE,eXp Realty,455000
1186,2061619293,2061619293,https://photos.zillowstatic.com/fp/4dbda3367388459cef1cd38fe3b91f53-p_e.jpg,https://www.zillow.com/homedetails/1040-Pacific-St-312-Vancouver-BC-V6E-4C1/2061619293_zpid/,Condo,"C$449,000",449000,"1040 Pacific St #312, Vancouver, BC V6E 4C1",1040 Pacific St #312,V6E4C1,1,1,508,"{'latitude': 49.277367, 'longitude': -123.13376}",FALSE,Keller Williams Realty VanCentral,449000
166,2063322698,2063322698,https://photos.zillowstatic.com/fp/1d7d2a04f8955e8bf34314c3dae0041c-p_e.jpg,https://www.zillow.com/homedetails/89-Nelson-St-2412-Vancouver-BC-V6Z-0E7/2063322698_zpid/,Condo,"C$849,000",849000,"89 Nelson St #2412, Vancouver, BC V6Z 0E7",89 Nelson St #2412,V6Z0E7,1,1,512,{},FALSE,RE/MAX Real Estate Services,849000
55,2060119511,2060119511,https://photos.zillowstatic.com/fp/12c740321cdf78d2655a01221e042625-p_e.jpg,https://www.zillow.com/homedetails/445-W-2nd-Ave-1102-Vancouver-BC-V5Y-0E8/2060119511_zpid/,Condo,"C$639,900",639900,"445 W 2nd Ave #1102, Vancouver, BC V5Y 0E8",445 W 2nd Ave #1102,V5Y0E8,0,1,517,"{'latitude': 49.267624, 'longitude': -123.11408}",FALSE,Oakwyn Realty Ltd.,639900
123,2060839653,2060839653,https://photos.zillowstatic.com/fp/0dbea17e10c80c6d67eaccef2c44f0a3-p_e.jpg,https://www.zillow.com/homedetails/1055-Broadway-E-204-Vancouver-BC-V6H-1E2/2060839653_zpid/,Condo,"C$550,000",550000,"1055 Broadway E #204, Vancouver, BC V6H 1E2",1055 Broadway E #204,V6H1E2,1,1,518,"{'latitude': 49.26371, 'longitude': -123.1278}",FALSE,Keller Williams Realty VanCentral,550000
207,2068440128,2068440128,https://photos.zillowstatic.com/fp/900d5febcc84544dfcb20030333f6582-p_e.jpg,https://www.zillow.com/homedetails/150-Cordova-St-E-903-Vancouver-BC-V6A-0E7/2068440128_zpid/,Condo,"C$469,900",469900,"150 Cordova St E #903, Vancouver, BC V6A 0E7",150 Cordova St E #903,V6A0E7,1,1,519,{},FALSE,Zolo Realty,469900
40,2060119615,2060119615,"https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=49.23952102661133,-123.0328140258789&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=h1WbbB5YJX1p424PhaO6aOTMw6w=",https://www.zillow.com/homedetails/4990-McGeer-St-114-Vancouver-BC-V5R-6C1/2060119615_zpid/,Condo,"C$429,000",429000,"4990 McGeer St #114, Vancouver, BC V5R 6C1",4990 McGeer St #114,V5R6C1,1,1,527,"{'latitude': 49.23952, 'longitude': -123.032814}",FALSE,RE/MAX City Realty,429000
300,2060592413,2060592413,https://photos.zillowstatic.com/fp/c451b03ee934c03cec800ce3c0282a90-p_e.jpg,https://www.zillow.com/homedetails/588-Broughton-St-2007-Vancouver-BC-V6G-3E3/2060592413_zpid/,Condo,"C$635,000",635000,"588 Broughton St #2007, Vancouver, BC V6G 3E3",588 Broughton St #2007,V6G3E3,1,1,527,"{'latitude': 49.2895, 'longitude': -123.1263}",TRUE,RE/MAX Crest Realty,635000
1196,2060118983,2060118983,https://photos.zillowstatic.com/fp/50c23229c408271813e9bc75b3d75d06-p_e.jpg,https://www.zillow.com/homedetails/5665-Boundary-Rd-2605-Vancouver-BC-V5R-0E4/2060118983_zpid/,Condo,"C$599,900",599900,"5665 Boundary Rd #2605, Vancouver, BC V5R 0E4",5665 Boundary Rd #2605,V5R0E4,1,1,527,"{'latitude': 49.23299, 'longitude': -123.02395}",FALSE,RE/MAX Crest Realty,599900
127,2060798520,2060798520,https://photos.zillowstatic.com/fp/c382b44fc7ddbd7a6b86570ffbe896b1-p_e.jpg,https://www.zillow.com/homedetails/1850-Comox-St-1908-Vancouver-BC-V6G-1R3/2060798520_zpid/,Condo,"C$399,999",399999,"1850 Comox St #1908, Vancouver, BC V6G 1R3",1850 Comox St #1908,V6G1R3,1,1,531,"{'latitude': 49.288967, 'longitude': -123.14078}",FALSE,RE/MAX City Realty,399999
433,2068767828,2068767828,https://photos.zillowstatic.com/fp/ee8fb5bfc32cbe24a16e15c3830fa2cc-p_e.jpg,https://www.zillow.com/homedetails/1480-Howe-St-906-Vancouver-BC-V6Z-0G5/2068767828_zpid/,Condo,"C$735,900",735900,"1480 Howe St #906, Vancouver, BC V6Z 0G5",1480 Howe St #906,V6Z0G5,1,1,531,{},FALSE,Sutton Group - 1st West Realty,735900
353,2063224628,2063224628,https://photos.zillowstatic.com/fp/90d0fa53414c85f1d8bb60d02488e4fc-p_e.jpg,https://www.zillow.com/homedetails/1219-Harwood-St-603-Vancouver-BC-V6E-1S5/2063224628_zpid/,Condo,"C$399,000",399000,"1219 Harwood St #603, Vancouver, BC V6E 1S5",1219 Harwood St #603,V6E1S5,1,1,540,{},FALSE,Sunrich Realty,399000
1161,2069073044,2069073044,https://photos.zillowstatic.com/fp/98fa6ce650ec8f90c67bd533e5a9f002-p_e.jpg,https://www.zillow.com/homedetails/1534-Harwood-St-1103-Vancouver-BC-V6G-1X9/2069073044_zpid/,Condo,"C$399,000",399000,"1534 Harwood St #1103, Vancouver, BC V6G 1X9",1534 Harwood St #1103,V6G1X9,1,1,540,"{'latitude': 49.283222, 'longitude': -123.140495}",FALSE,Stilhavn Real Estate Services,399000
1184,2060606505,2060606505,https://photos.zillowstatic.com/fp/72745ac047b2eecb89e44f349ea9b7ce-p_e.jpg,https://www.zillow.com/homedetails/2255-Eton-St-106-Vancouver-BC-V5L-1C9/2060606505_zpid/,Condo,"C$380,000",380000,"2255 Eton St #106, Vancouver, BC V5L 1C9",2255 Eton St #106,V5L1C9,1,1,541,"{'latitude': 49.287766, 'longitude': -123.05868}",FALSE,RE/MAX Crest Realty,380000
648,2062170590,2062170590,https://photos.zillowstatic.com/fp/07c934e6fdb110302b505e940157fd87-p_e.jpg,https://www.zillow.com/homedetails/1989-Dunbar-St-306-Vancouver-BC-V6R-4R5/2062170590_zpid/,Condo,"C$599,000",599000,"1989 Dunbar St #306, Vancouver, BC V6R 4R5",1989 Dunbar St #306,V6R4R5,1,1,543,{},FALSE,Dexter Realty,599000
790,2060695499,2060695499,https://photos.zillowstatic.com/fp/4fe2164bb3efb98543869967b8ede4c0-p_e.jpg,https://www.zillow.com/homedetails/1503-W-65th-Ave-208-Vancouver-BC-V6P-6Y8/2060695499_zpid/,Condo,"C$529,000",529000,"1503 W 65th Ave #208, Vancouver, BC V6P 6Y8",1503 W 65th Ave #208,V6P6Y8,1,1,545,"{'latitude': 49.212532, 'longitude': -123.140785}",FALSE,Oakwyn Realty Ltd.,529000
161,2076358860,2076358860,https://photos.zillowstatic.com/fp/7d07f4ac1f6dd9736bb5b2e566e13d5b-p_e.jpg,https://www.zillow.com/homedetails/1850-Comox-St-1008-Vancouver-BC-V6G-1R3/2076358860_zpid/,Condo,"C$378,000",378000,"1850 Comox St #1008, Vancouver, BC V6G 1R3",1850 Comox St #1008,V6G1R3,1,1,546,{},FALSE,Royal Pacific Tri-Cities Realty,378000
1180,2063296628,2063296628,https://photos.zillowstatic.com/fp/c9ba580178103b4d73af441fd81f0599-p_e.jpg,https://www.zillow.com/homedetails/1219-Harwood-St-604-Vancouver-BC-V6E-1S5/2063296628_zpid/,Condo,"C$349,000",349000,"1219 Harwood St #604, Vancouver, BC V6E 1S5",1219 Harwood St #604,V6E1S5,1,1,547,"{'latitude': 49.2808, 'longitude': -123.13561}",FALSE,Century 21 In Town Realty,349000
501,2060444640,2060444640,https://photos.zillowstatic.com/fp/6f3e0bacbe0ee83fef810996f42a639f-p_e.jpg,https://www.zillow.com/homedetails/3438-Vanness-Ave-808-Vancouver-BC-V5R-6E7/2060444640_zpid/,Condo,"C$499,000",499000,"3438 Vanness Ave #808, Vancouver, BC V5R 6E7",3438 Vanness Ave #808,V5R6E7,1,1,548,"{'latitude': 49.237797, 'longitude': -123.0318}",FALSE,Royal Pacific Realty (Kingsway) Ltd.,499000
210,2061642876,2061642876,https://photos.zillowstatic.com/fp/3c85abe68a36a063906ad06ab7a1ec60-p_e.jpg,https://www.zillow.com/homedetails/1500-Howe-St-1202-Vancouver-BC-V6Z-2N1/2061642876_zpid/,Condo,"C$575,000",575000,"1500 Howe St #1202, Vancouver, BC V6Z 2N1",1500 Howe St #1202,V6Z2N1,1,1,553,"{'latitude': 49.27417, 'longitude': -123.132}",FALSE,Oakwyn Realty Ltd.,575000
665,2063143345,2063143345,https://photos.zillowstatic.com/fp/f6569e41bca4305e2f67357a6a771d68-p_e.jpg,https://www.zillow.com/homedetails/4028-Knight-St-316-Vancouver-BC-V5N-5Y8/2063143345_zpid/,Condo,"C$558,000",558000,"4028 Knight St #316, Vancouver, BC V5N 5Y8",4028 Knight St #316,V5N5Y8,1,1,553,{},FALSE,LeHomes Realty Premier,558000
236,2062319004,2062319004,https://photos.zillowstatic.com/fp/d7fe47ff5f33ac45440c52baf236b70a-p_e.jpg,https://www.zillow.com/homedetails/1864-Frances-St-404-Vancouver-BC-V5L-1Z7/2062319004_zpid/,Condo,"C$474,888",474888,"1864 Frances St #404, Vancouver, BC V5L 1Z7",1864 Frances St #404,V5L1Z7,1,1,555,"{'latitude': 49.279064, 'longitude': -123.0665}",FALSE,Stonehaus Realty Corp.,474888
152,2060930536,2060930536,https://photos.zillowstatic.com/fp/9657ea2f54c7ee40adce04e60648202a-p_e.jpg,https://www.zillow.com/homedetails/2165-W-40th-Ave-404-Vancouver-BC-V6M-1W4/2060930536_zpid/,Condo,"C$399,000",399000,"2165 W 40th Ave #404, Vancouver, BC V6M 1W4",2165 W 40th Ave #404,V6M1W4,1,1,560,"{'latitude': 49.235817, 'longitude': -123.157295}",FALSE,RE/MAX Select Properties,399000
1181,2061263928,2061263928,https://photos.zillowstatic.com/fp/5923bfa772b56718774ecd0f3224925f-p_e.jpg,https://www.zillow.com/homedetails/1250-Burnaby-St-606-Vancouver-BC-V6E-1P6/2061263928_zpid/,Condo,"C$319,000",319000,"1250 Burnaby St #606, Vancouver, BC V6E 1P6",1250 Burnaby St #606,V6E1P6,1,1,560,{},FALSE,Sutton Group-West Coast Realty,319000
281,2060184647,2060184647,https://photos.zillowstatic.com/fp/7936ccdc46e7b79e075246415918d9e0-p_e.jpg,https://www.zillow.com/homedetails/933-Seymour-St-604-Vancouver-BC-V6B-6L6/2060184647_zpid/,Condo,"C$699,000",699000,"933 Seymour St #604, Vancouver, BC V6B 6L6",933 Seymour St #604,V6B6L6,1,1,561,"{'latitude': 49.279247, 'longitude': -123.12163}",FALSE,Oakwyn Realty Ltd.,699000
622,2060723406,2060723406,https://photos.zillowstatic.com/fp/2dbb9a8b641f104fdda33eec2dc6776e-p_e.jpg,https://www.zillow.com/homedetails/1239-Kingsway-208-Vancouver-BC-V5V-3E2/2060723406_zpid/,Condo,"C$575,000",575000,"1239 Kingsway #208, Vancouver, BC V5V 3E2",1239 Kingsway #208,V5V3E2,1,1,569,"{'latitude': 49.252045, 'longitude': -123.07907}",FALSE,The Agency Vancouver,575000
73,2061266248,2061266248,https://photos.zillowstatic.com/fp/42e7a6615fee88b939cc134027b818d9-p_e.jpg,https://www.zillow.com/homedetails/1250-Burnaby-St-607-Vancouver-BC-V6E-1P6/2061266248_zpid/,Condo,"C$349,000",349000,"1250 Burnaby St #607, Vancouver, BC V6E 1P6",1250 Burnaby St #607,V6E1P6,1,1,570,"{'latitude': 49.28147, 'longitude': -123.135605}",FALSE,Sutton Group-West Coast Realty,349000
749,2062398002,2062398002,https://photos.zillowstatic.com/fp/def45124b1940b9d7b90ff5fb848d93f-p_e.jpg,https://www.zillow.com/homedetails/438-Seymour-St-1909-Vancouver-BC-V6B-6H4/2062398002_zpid/,Condo,"C$551,000",551000,"438 Seymour St #1909, Vancouver, BC V6B 6H4",438 Seymour St #1909,V6B6H4,1,1,570,"{'latitude': 49.284054, 'longitude': -123.11328}",FALSE,TRG The Residential Group Realty,551000
793,2060896038,2060896038,https://photos.zillowstatic.com/fp/05a709ea4fec18ebe64f949726cb833c-p_e.jpg,https://www.zillow.com/homedetails/1680-E-12th-Ave-302-Vancouver-BC-V5T-2G9/2060896038_zpid/,Condo,"C$669,900",669900,"1680 E 12th Ave #302, Vancouver, BC V5T 2G9",1680 E 12th Ave #302,V5T2G9,1,1,570,"{'latitude': 49.260117, 'longitude': -123.09936}",FALSE,Wesgroup Realty Ltd.,669900
122,2060183922,2060183922,https://photos.zillowstatic.com/fp/9b8aaafef3db38c7527dfa0bf7b2e807-p_e.jpg,https://www.zillow.com/homedetails/1009-Harwood-St-806-Vancouver-BC-V6E-0C2/2060183922_zpid/,Condo,"C$699,000",699000,"1009 Harwood St #806, Vancouver, BC V6E 0C2",1009 Harwood St #806,V6E0C2,1,1,571,"{'latitude': 49.27807, 'longitude': -123.13131}",FALSE,Jovi Realty Inc.,699000
239,2060139238,2060139238,https://photos.zillowstatic.com/fp/97ec281043df773235ca968da7165b48-p_e.jpg,https://www.zillow.com/homedetails/2688-Vine-St-404-Vancouver-BC-V6K-4T6/2060139238_zpid/,Condo,"C$750,000",750000,"2688 Vine St #404, Vancouver, BC V6K 4T6",2688 Vine St #404,V6K4T6,1,1,571,"{'latitude': 49.262283, 'longitude': -123.15661}",FALSE,RE/MAX Crest Realty,750000
396,2067402414,2067402414,https://photos.zillowstatic.com/fp/b04c77536afeb9ea712b7636a0157663-p_e.jpg,https://www.zillow.com/homedetails/5380-Oben-St-1701-Vancouver-BC-V5R-6H7/2067402414_zpid/,Condo,"C$598,000",598000,"5380 Oben St #1701, Vancouver, BC V5R 6H7",5380 Oben St #1701,V5R6H7,1,1,572,{},FALSE,LeHomes Realty Premier,598000
156,2060139774,2060139774,https://photos.zillowstatic.com/fp/acb55e7b223900078964daf77055909d-p_e.jpg,https://www.zillow.com/homedetails/63-Keefer-Pl-2510-Vancouver-BC-V6B-6N6/2060139774_zpid/,Condo,"C$549,500",549500,"63 Keefer Pl #2510, Vancouver, BC V6B 6N6",63 Keefer Pl #2510,V6B6N6,1,1,575,"{'latitude': 49.279926, 'longitude': -123.106606}",TRUE,RE/MAX Crest Realty,549500
311,2060171095,2060171095,https://photos.zillowstatic.com/fp/ae60b5630430382198d14a9222d0b2d0-p_e.jpg,https://www.zillow.com/homedetails/2239-W-1st-Ave-405-Vancouver-BC-V6K-1E9/2060171095_zpid/,Condo,"C$750,000",750000,"2239 W 1st Ave #405, Vancouver, BC V6K 1E9",2239 W 1st Ave #405,V6K1E9,2,1,577,"{'latitude': 49.271072, 'longitude': -123.156235}",FALSE,Engel & Volkers Vancouver,750000
766,2072460962,2072460962,https://photos.zillowstatic.com/fp/97dbc10b3f8cdf2a08711c3398947fbd-p_e.jpg,https://www.zillow.com/homedetails/63-Keefer-Pl-907-Vancouver-BC-V6B-6N6/2072460962_zpid/,Condo,"C$649,000",649000,"63 Keefer Pl #907, Vancouver, BC V6B 6N6",63 Keefer Pl #907,V6B6N6,1,1,588,"{'latitude': 49.279926, 'longitude': -123.106606}",FALSE,Oakwyn Realty Downtown Ltd.,649000
673,314324455,314324455,https://photos.zillowstatic.com/fp/d73163e44f95348109cf304db9146ed2-p_e.jpg,https://www.zillow.com/homedetails/2040-Cornwall-Ave-311-Vancouver-BC-V6J-1E1/314324455_zpid/,Condo,"C$628,880",628880,"2040 Cornwall Ave #311, Vancouver, BC V6J 1E1",2040 Cornwall Ave #311,V6J1E1,1,1,595,"{'latitude': 49.27225, 'longitude': -123.1512}",FALSE,RE/MAX City Realty,628880
